Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;DEU000130630;;MOD;2017-03-02;2100-12-31;SFD2268;VY21;AXELIA;326;;SFD2268;Y;Y;N;;;;;FX;OTM;OTB;;;;;11.89;0.00;19.40;0.00;0.00;174.00;50.00;3;2015-03-12;MFL;;;PA;2000-01-01
SWE;DNK000001560;;MOD;2023-12-01;2100-12-31;SFC8575;LL15;FELICIA;SEGRD;Grundsund;SFC8575;Y;Y;N;N;N;N;;FX;FPO;GND;;;;;8.84;0.00;4.46;0.00;0.00;58.00;0.00;3;2008-02-08;MFL;;;PA;2008-01-01
SWE;DNK000003274;;MOD;2024-02-21;2100-12-31;SFC8101;SG24;ANGELICA;SEHVK;Hörvik;SFC8101;Y;Y;N;N;N;Y;265622460;FX;FPO;FPO;;;;;9.24;0.00;5.04;0.00;0.00;63.00;0.00;3;2006-11-14;MFL;;;PA;1970-01-01
SWE;DNK000003300;;MOD;2022-11-17;2100-12-31;SMBP;SD341;SUNDLAND II;SEGRE;Grebbestad;SMBP;Y;Y;Y;Y;;Y;266086000;FX;OTB;TBN;;;;;18.01;0.00;45.00;0.00;0.00;246.00;0.00;1;2009-06-02;MFL;;;PA;1969-01-01
SWE;DNK000004968;;MOD;2024-02-18;2100-12-31;SFC8728;SD4;MILIA;SEHBG;Hamburgsund;SFC8728;Y;Y;N;N;N;Y;265649560;FX;GND;FPO;;;;;9.90;0.00;7.15;0.00;0.00;62.00;0.00;1;2008-06-16;MFL;;;PA;1980-01-01
SWE;DNK000006100;;MOD;2023-01-27;2100-12-31;SFD2564;HG79;HILD;SEVKN;Viken", Höganäs;SFD2564;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;9.67;0.00;4.37;0.00;0.00;96.00;0.00;1;2017-06-07;MFL;DNK;;PA;1985-01-01
SWE;DNK000006333;;MOD;2023-09-19;2100-12-31;SFC8535;GG477;AERÖ;SEFIS;Fiskebäck;SFC8535;Y;Y;N;N;N;Y;265686850;FX;TBN;NO;;;;;10.23;0.00;8.80;0.00;0.00;98.00;0.00;1;2007-12-11;MFL;;;PA;1964-01-01
SWE;DNK000006457;;MOD;2022-09-13;2100-12-31;SFE2773;LL161;SVAN;SEELO;Ellös;SFE2773;Y;Y;Y;Y;;Y;266354000;FX;TBN;OTB;;;;;14.86;0.00;28.00;0.00;0.00;153.00;0.00;1;2019-02-05;MFL;;;PA;1956-01-01
SWE;DNK000006974;;MOD;2023-06-28;2100-12-31;SFE2009;SIN77;MELINA;SESIM;Simrishamn;SFE2009;Y;Y;Y;Y;N;Y;265005000;FX;OTB;TBN;;;;;14.84;0.00;25.00;0.00;0.00;224.00;0.00;1;2018-02-02;MFL;;;PA;1992-01-01
SWE;DNK000007161;8424680;MOD;2023-02-14;2100-12-31;SHRM;VG59;LIPTON;SETRE;Träslövsläge;SHRM;Y;Y;Y;Y;N;Y;265703000;FX;OTB;TBN;;;;;27.25;0.00;181.00;0.00;0.00;508.00;0.00;2;2016-02-23;MFL;;;PA;1984-01-01
SWE;DNK000007166;;MOD;2024-04-29;2100-12-31;SFD2583;HG20;HELLE;SEHOG;Höganäs;SFD2583;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;9.88;0.00;6.65;0.00;0.00;81.00;0.00;1;2017-07-04;MFL;;;PA;1976-01-01
SWE;DNK000007176;;MOD;2023-09-27;2100-12-31;SFD2124;GG31;EVA;SELEL;Lerkil;SFD2124;Y;Y;N;N;N;Y;265727220;FX;TBN;FPO;;;;;9.99;0.00;14.00;0.00;0.00;154.45;0.00;3;2014-04-07;MFL;;;PA;1977-01-01
SWE;DNK000008105;;MOD;2023-11-15;2100-12-31;SFD2109;SG64;VÅGSKÄR;SEHVK;Hörvik;SFD2109;Y;Y;N;N;N;Y;265726230;FX;OTM;NO;;;;;11.98;0.00;12.53;0.00;0.00;125.00;0.00;1;2014-02-25;MFL;;;PA;1977-01-01
SWE;DNK000008396;8424070;MOD;2022-11-17;2100-12-31;SDVZ;VY33;BRITTON;SERNH;Ronehamn;SDVZ;Y;Y;Y;Y;;Y;266245000;FX;OTM;NO;;;;;21.05;0.00;121.00;0.00;8.00;370.00;53.69;2;2006-08-30;MFL;;;PA;1984-01-01
